prefixe_compte_pcg_normalise,categorie
101,operation_capital_hors_perimetre
1100,operation_capital_hors_perimetre
1190,operation_capital_hors_perimetre
218,immobilisation_vehicule
2751,immobilisation_vehicule
2818,immobilisation_vehicule
444,etat_taxes_diverses
606,fournitures_administratives
6060,fournitures_administratives
6061,carburant
60611,carburant
60614,carburant
6063,fournitures_administratives
6064,fournitures_administratives
6068,fournitures_administratives
611,sous_traitance_chauffeurs
6135,a_verifier_location_materiel
6155,entretien_reparation_vehicule
6160,assurance_vehicule
6161,assurance_vehicule
6162,assurance_vehicule
622,commissions_plateformes
6226,honoraires_comptable_juridique
6227,honoraires_comptable_juridique
6231,fournitures_administratives
6251,peage_stationnement
6256,frais_bouche_a_verifier
6257,frais_bouche_a_verifier
626,telecommunications
627,frais_bancaires
635,charges_sociales_impots
6411,remuneration_dirigeant
645,charges_sociales_impots
6450,assurance_personnelle_sante
6475,visite_medicale_vtc
658,fournitures_administratives
6580,fournitures_administratives
661,interets_emprunts
6712,amendes_infractions
681,dotations_amortissements
695,dotations_amortissements
6951,dotations_amortissements
706,recettes_plateformes
741,subventions
